System,Specification,NodesExplored,NumRepairs,MinNumVariables,MaxNumVariables,MinNumAssumptions,MaxNumAssumptions,MaxWeakness,Repaired
ColorSort,ColorSortLTL2TAG_789_ColorSort_1,14,0,,,0,0,,False
ColorSort,ColorSortLTL2TAG_789_ColorSort_2,1,0,,,0,0,,False
ColorSort,ColorSortLTL2TAG_789_ColorSort_3,4,0,,,0,0,,False
ColorSort,ColorSortLTL2_621_ColorSort_fixed_1,102,0,,,0,0,,False
ColorSort,ColorSortLTL2_794_ColorSort_fixed_1,111,0,,,0,0,,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_1,112,0,,,0,0,,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_2,1,0,,,0,0,,False
ColorSort,ColorSortLTL3TAG_787_ColorSort_3,1,0,,,0,0,,False
ColorSort,ColorSortLTL3_621_ColorSort_fixed_1,138,0,,,0,0,,False
ColorSort,ColorSortLTL3_646_ColorSort_fixed_1,1,0,,,0,0,,False
ColorSort,ColorSortLTL3_662_ColorSort_fixed_1,154,39,4.0,5.0,0,0,"(0.9703544643372254, 0.9703544643372254, 1.0, -inf)",True
ColorSort,ColorSortLTL3_674_ColorSort_fixed_1,6,1,1.0,1.0,0,0,"(0.9376357639489852, 0.9376357639489852, 1.0, -inf)",True
ColorSort,ColorSortLTL3_674_ColorSort_fixed_2,1,0,,,0,0,,False
ColorSort,ColorSortLTL3_675_ColorSort_fixed_1,1,0,,,0,0,,False
ColorSort,ColorSortLTL3_675_ColorSort_fixed_2,1,0,,,0,0,,False
ColorSort,ColorSortLTL3_678_ColorSort_fixed_1,1,0,,,0,0,,False
ColorSort,ColorSortLTL3_678_ColorSort_fixed_2,1,0,,,0,0,,False
ColorSort,ColorSortLTL3_679_ColorSort_fixed_1,3,0,,,0,0,,False
ColorSort,ColorSortLTL3_679_ColorSort_fixed_2,3,2,1.0,1.0,0,0,"(0.9356885409315302, 0.9356885409315302, 1.0, -inf)",True
ColorSort,ColorSortLTL3_681_ColorSort_fixed_1,4,0,,,0,0,,False
ColorSort,ColorSortLTL3_681_ColorSort_fixed_2,3,2,1.0,1.0,0,0,"(0.940282216579278, 0.940282216579278, 1.0, -inf)",True
ColorSort,ColorSortLTL3_682_ColorSort_fixed_1,3,0,,,0,0,,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_2,5,0,,,0,0,,False
ColorSort,ColorSortLTL3_682_ColorSort_fixed_3,99,0,,,0,0,,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_1,2,0,,,0,0,,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_2,2,0,,,0,0,,False
ColorSort,ColorSortLTL3_687_ColorSort_fixed_3,3,2,1.0,1.0,0,0,"(0.924431998087498, 0.924431998087498, 1.0, 0.8938721875540867)",True
ColorSort,ColorSortLTL3_687_ColorSort_fixed_4,1,0,,,0,0,,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_1,2,1,1.0,1.0,0,0,"(0.9309737805229832, 0.9309737805229832, 1.0, 0.920850914686914)",True
ColorSort,ColorSortLTL3_688_ColorSort_fixed_2,4,1,3.0,3.0,0,0,"(0.917052182489933, 0.917052182489933, 1.0, 0.9091510394233606)",True
